assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
BINPACKER,0.5,180,240.83333333333334,0.7219834394932794,228,263
BINPACKER,0.6,180,333.75,0.8566342044005573,320,359
BINPACKER,0.7,180,372.4166666666667,0.8297642377534116,359,391
BINPACKER,0.8,180,408,0.973580234494383,383,428
BINPACKER,0.9,180,446.3333333333333,0.9884497452175339,422,466
BINPACKER,0.91,180,452.25,0.9154808649844627,430,473
BINPACKER,0.92,180,459.4166666666667,0.9074789260591474,437,480
BINPACKER,0.93,180,467.8333333333333,0.9952556605813926,445,489
BINPACKER,0.94,180,476.9166666666667,0.9955479730302268,452,500
BINPACKER,0.95,180,486.25,1.064111085476811,463,508
BINPACKER,0.96,180,497.25,1.0968572847757978,473,522
BINPACKER,0.97,180,514.1666666666666,1.0674781596609804,490,540
BINPACKER,0.98,180,535,1.1335414421702095,508,562
BINPACKER,0.99,180,573.25,1.283081791111371,551,614
BINPACKER,1,180,670.1666666666666,1.9642601189816293,631,725
BRIDGER,0.5,180,204.66666666666666,0.5435702834137939,192,217
BRIDGER,0.6,180,288.3333333333333,0.8441568983461839,267,306
BRIDGER,0.7,180,323.9166666666667,0.838137918663408,299,337
BRIDGER,0.8,180,351.8333333333333,0.8869178177227954,324,370
BRIDGER,0.9,180,381,0.7018199273519564,356,392
BRIDGER,0.91,180,385.8333333333333,0.6903385759700658,361,397
BRIDGER,0.92,180,391.3333333333333,0.6980508466305942,367,405
BRIDGER,0.93,180,397.5833333333333,0.7470976326758405,374,413
BRIDGER,0.94,180,406.3333333333333,0.80230889655249,380,420
BRIDGER,0.95,180,416.1666666666667,0.8477340447053259,388,431
BRIDGER,0.96,180,424.5833333333333,0.991330357820458,391,447
BRIDGER,0.97,180,436.5833333333333,1.057234689803262,401,459
BRIDGER,0.98,180,451.3333333333333,1.1279145293855415,415,474
BRIDGER,0.99,180,475.1666666666667,1.1047693007797503,442,499
BRIDGER,1,180,509.0833333333333,1.1827666699966122,476,535
CSTONE,0.5,180,151.91666666666666,0.41554784611961215,145,165
CSTONE,0.6,180,218,0.4059611671992076,211,230
CSTONE,0.7,180,239.16666666666666,0.44516158777492426,231,248
CSTONE,0.8,180,258.5833333333333,0.3960446118492188,250,266
CSTONE,0.9,180,269,0.4379569972852768,261,277
CSTONE,0.91,180,269.75,0.424050039210221,262,278
CSTONE,0.92,180,270,0.41838565335683187,262,278
CSTONE,0.93,180,270.75,0.4207435557020505,263,279
CSTONE,0.94,180,272,0.42610356230622604,264,280
CSTONE,0.95,180,272.6666666666667,0.4028914734969104,266,281
CSTONE,0.96,180,273.6666666666667,0.3703807157669554,267,282
CSTONE,0.97,180,274.6666666666667,0.3753748385252926,268,282
CSTONE,0.98,180,279.3333333333333,0.3678582297830494,274,287
CSTONE,0.99,180,286.1666666666667,0.49844575315597783,276,297
CSTONE,1,180,317.6666666666667,0.7073262092077124,300,339
IDBA,0.5,180,181.91666666666669,0.6345560577606364,169,200
IDBA,0.6,180,217.08333333333334,0.657614285677781,199,231
IDBA,0.7,180,245.66666666666666,0.7079840852226951,228,259
IDBA,0.8,180,303.8333333333333,0.8355649820512413,279,321
IDBA,0.9,180,397.3333333333333,0.7563100990068258,376,418
IDBA,0.91,180,402.9166666666667,0.7942169546628086,384,427
IDBA,0.92,180,406.4166666666667,0.7495860641285246,388,428
IDBA,0.93,180,408.9166666666667,0.7477205169355094,390,430
IDBA,0.94,180,411.9166666666667,0.7477205169355093,394,431
IDBA,0.95,180,415.5,0.7008242021959663,400,433
IDBA,0.96,180,416.9166666666667,0.7489647313720643,400,435
IDBA,0.97,180,420.25,0.7617026160075694,402,440
IDBA,0.98,180,423.5,0.7722491276031322,405,443
IDBA,0.99,180,425.5,0.776457600876591,409,446
IDBA,1,180,425.6666666666667,0.7745566000968356,409,446
MEGAHIT,0.5,180,185.5,0.4662741099651964,177,198
MEGAHIT,0.6,180,227.08333333333334,0.5967465589491305,209,239
MEGAHIT,0.7,180,257.25,0.6524020935129744,244,277
MEGAHIT,0.8,180,319.25,0.6357776510711034,305,336
